ESO Period 100 - Protected Guaranteed Time Observations - MUSE Consortium,,,,,,,,,,,,,
,,,,,,,,,,,,,
Target id,Right Ascension,,,Declination,,,Instrument,Instrument setup,Telescope,Execution time (h),PI,Protection,Comments
,hh,mm,ss.ss,#NAME?,pp,ss,,,,,,months,
SDSSJ0014+0912,0,14,43.2,9,12,17,MUSE,NAO,UT4,1.5,Bouche,6,                                          
SDSSJ0014-0028,0,14,53.4,0,28,27,MUSE,NAO,UT4,9,Bouche,6,                                          
SDSSJ0015-0751,0,15,35.2,-7,51,3,MUSE,NnoAO,UT4,1.5,Bouche,6,                                          
SDSSJ0058+0111,0,58,55.7,1,11,28,MUSE,NAO,UT4,1.5,Bouche,6,                                          
SDSSJ0103+1332,1,3,32.3,13,32,33,MUSE,NAO,UT4,1.5,Bouche,6,                                          
SDSSJ0134+0051,1,34,5.7,0,51,9,MUSE,NAO,UT4,1.5,Bouche,6,                                          
SDSSJ0145+1056,1,45,13.1,10,56,27,MUSE,NAO,UT4,1.5,Bouche,6,                                          
PKS0332-403,3,34,13.7,-40,8,25,MUSE,NAO,UT4,1.5,Bouche,6,                                          
PKS0402-362,4,3,53.7,-36,5,2,MUSE,NAO,UT4,1.5,Bouche,6,                                          
SDSSJ0937+0656,9,37,49.5,6,56,56,MUSE,NAO,UT4,9,Bouche,6,                                          
SDSSJ1107+1757,11,7,35.3,17,57,31,MUSE,NnoAO,UT4,1.5,Bouche,6,                                          
4C+13.46,12,13,32.1,13,7,20,MUSE,NAO,UT4,1.5,Bouche,6,                                          
4C+19.44,13,57,4.4,19,19,8,MUSE,NnoAO,UT4,1.5,Bouche,6,                                          
SDSSJ1358+1145,13,58,9.5,11,45,58,MUSE,NAO,UT4,1.5,Bouche,6,                                          
Luque_1,1,11,10.3,-13,41,5,MUSE,NnoAO,UT4,0.75,Brinchmann,6,                                          
Cetus_II,1,17,52.8,-17,25,12,MUSE,NnoAO,UT4,0.75,Brinchmann,6,                                          
Eridanus_3,2,22,45.5,-52,17,1,MUSE,NnoAO,UT4,0.75,Brinchmann,6,                                          
Horologium_1,2,55,31.7,-54,7,7,MUSE,NnoAO,UT4,0.75,Brinchmann,6,                                          
Eridanus_2,3,44,21.1,-43,31,59,MUSE,NAO,UT4,4,Brinchmann,6,                                          
Pictoris_1,4,43,47.4,-50,16,59,MUSE,NnoAO,UT4,0.75,Brinchmann,6,                                          
Columba_I,5,31,26.4,-28,1,48,MUSE,NnoAO,UT4,0.75,Brinchmann,6,                                          
Leo_T,9,34,53.4,17,3,5,MUSE,NAO,UT4,0.75,Brinchmann,6,                                          
Antlia_B,9,48,56.1,-25,59,24,MUSE,NAO,UT4,2,Brinchmann,6,                                          
Virgo_I,12,0,9.6,0,40,49,MUSE,NnoAO,UT4,0.75,Brinchmann,6,                                          
Hydra_II,12,21,42.1,-31,59,7,MUSE,NnoAO,UT4,0.75,Brinchmann,6,                                          
KKH86,13,54,33.5,4,14,35,MUSE,NAO,UT4,0.75,Brinchmann,6,                                          
Laevens_3,21,6,54.3,14,58,48,MUSE,NAO,UT4,0.75,Brinchmann,6,                                          
Indus_1,21,8,49.1,-51,9,56,MUSE,NAO,UT4,0.75,Brinchmann,6,                                          
Pegasus_3,22,24,22.6,5,25,12,MUSE,NnoAO,UT4,0.75,Brinchmann,6,                                          
Tucana,22,41,49.6,-64,25,10,MUSE,NAO,UT4,0.75,Brinchmann,6,                                          
Grus_1,22,56,42.4,-50,9,48,MUSE,NnoAO,UT4,0.75,Brinchmann,6,                                          
Pisces_II,22,58,31,5,57,9,MUSE,NnoAO,UT4,0.75,Brinchmann,6,                                          
Tucana_V,23,37,24,-63,16,12,MUSE,NnoAO,UT4,0.75,Brinchmann,6,                                          
Phoenix_2,23,39,59.4,-54,24,22,MUSE,NnoAO,UT4,0.75,Brinchmann,6,                                          
IC1623,1,7,47.2,-17,30,26,MUSE,NAO,UT4,1.5,Carollo,6,                                          
NGC0520,1,24,35.1,3,47,33,MUSE,NAO,UT4,3,Carollo,6,                                          
NGC1326,3,23,56.4,-36,27,53,MUSE,NnoAO,UT4,1.5,Carollo,6,                                          
NGC1385,3,37,28.8,-24,30,1,MUSE,NnoAO,UT4,1.5,Carollo,6,                                          
NGC1487,3,55,46.1,-42,22,5,MUSE,NAO,UT4,3,Carollo,6,                                          
NGC1518,4,6,49.7,-21,10,22,MUSE,NnoAO,UT4,1.5,Carollo,6,                                          
NGC1566,4,20,0.4,-54,56,16,MUSE,NAO,UT4,1.5,Carollo,6,                                          
NGC2207,6,16,22,-21,22,22,MUSE,NAO,UT4,4.5,Carollo,6,                                          
IC2545,10,6,35.1,-33,51,30,MUSE,NAO,UT4,1.5,Carollo,6,                                          
NGC3521,11,5,48.6,0,2,9,MUSE,NnoAO,UT4,1.5,Carollo,6,                                          
NGC4496A,12,31,39.2,3,56,22,MUSE,NnoAO,UT4,1.5,Carollo,6,                                          
NGC4517A,12,32,28.2,0,23,23,MUSE,NnoAO,UT4,1.5,Carollo,6,                                          
CGR22,9,59,10.2,2,10,6,MUSE,NAO,UT4,3.5,Contini,6,                                          
CGR77,9,59,16.4,1,49,19,MUSE,NAO,UT4,3.5,Contini,6,                                          
CGR32,9,59,44.4,2,31,24,MUSE,NAO,UT4,3.5,Contini,6,                                          
CGR116,9,59,59.7,2,15,32,MUSE,NAO,UT4,3.5,Contini,6,                                          
CGR83,10,0,12.2,2,35,47,MUSE,NAO,UT4,3.5,Contini,6,                                          
CGR26,10,0,54.1,1,48,44,MUSE,NAO,UT4,3.5,Contini,6,                                          
CGR24,10,1,58,2,4,15,MUSE,NAO,UT4,3.5,Contini,6,                                          
NGC0104_OUTER1,0,23,38.3,-72,4,54,MUSE,NAO,UT4,0.4,Dreizler,6,                                          
NGC0104_CENTER,0,24,5.7,-72,4,53,MUSE,NAO,UT4,1,Dreizler,6,mosaic of central 2x4arcmin (8 pointings)
NGC0104_OUTER2,0,24,44.2,-72,3,55,MUSE,NAO,UT4,0.6,Dreizler,6,                                          
NGC362_CENTER,1,3,14.3,-70,50,56,MUSE,NAO,UT4,1,Dreizler,6,                                          
NGC3201_CENTER,10,17,36.8,-46,24,45,MUSE,NAO,UT4,1,Dreizler,6,                                          
NGC5139_OUTER2,13,26,31,-47,29,55,MUSE,NAO,UT4,0.5,Dreizler,6,                                          
NGC5139_OUTER1,13,26,36.8,-47,27,54,MUSE,NAO,UT4,0.5,Dreizler,6,                                          
NGC5139_OUTER3,13,26,40.3,-47,25,0,MUSE,NAO,UT4,1,Dreizler,6,                                          
NGC5139_OUTER4,13,26,41,-47,24,3,MUSE,NAO,UT4,1.2,Dreizler,6,                                          
NGC5139_CENTER,13,26,47.2,-47,28,47,MUSE,NAO,UT4,0.8,Dreizler,6,mosaic of central 4x2arcmin (6 pointings)
NGC5286_CENTER,13,46,26.8,-51,22,27,MUSE,NAO,UT4,2,Dreizler,6,                                          
NGC5904_CENTER,15,18,33.2,2,4,52,MUSE,NAO,UT4,2,Dreizler,6,mosaic of central 2x2arcmin (4 pointings)
NGC6093_CENTER,16,17,2.4,-22,58,34,MUSE,NAO,UT4,2,Dreizler,6,mosaic of central 2x2arcmin (4 pointings)
NGC6254_CENTER,16,57,9.1,-4,6,1,MUSE,NAO,UT4,1,Dreizler,6,                                          
NGC6266_CENTER,17,1,12.8,-30,6,49,MUSE,NAO,UT4,1,Dreizler,6,mosaic of central 2x2arcmin (4 pointings)
NGC6293_CENTER,17,10,10.2,-26,34,56,MUSE,NAO,UT4,1,Dreizler,6,                                          
NGC6522_CENTER,18,3,34,-30,2,2,MUSE,NAO,UT4,1,Dreizler,6,                                          
NGC6541_CENTER,18,8,2.4,-43,42,54,MUSE,NAO,UT4,1,Dreizler,6,mosaic of central 2x2arcmin (4 pointings)
NGC6656_CENTER,18,23,40.5,-30,21,40,MUSE,NAO,UT4,2,Dreizler,6,mosaic of central 2x2arcmin (4 pointings)
NGC6624_CENTER,18,23,40.5,-30,21,40,MUSE,NAO,UT4,2,Dreizler,6,                                          
NGC6681_CENTER,18,43,12.8,-32,17,32,MUSE,NAO,UT4,1,Dreizler,6,                                          
NGC7078_CENTER,21,29,58.3,12,10,1,MUSE,NAO,UT4,1,Dreizler,6,                                          
Q0042-262,0,44,34.1,-26,12,8,MUSE,NAO,UT4,16,Lilly,6,                                          
MACS0257-22,2,57,41,-22,9,20,MUSE,NAO,UT4,5,Richard,6,                                          
MACS0940+07,9,40,53,7,44,27,MUSE,NAO,UT4,5,Richard,6,                                          
MACS2050+01,20,50,43.4,1,23,29,MUSE,NAO,UT4,5,Richard,6,                                          
candels-cdfs-43,3,32,17.5,-27,47,18,MUSE,NnoAO,UT4,1,Wisotzki,6,                                          
candels-cdfs-42,3,32,20,-27,46,6,MUSE,NnoAO,UT4,1,Wisotzki,6,                                          
candels-cdfs-40,3,32,31.9,-27,45,8,MUSE,NnoAO,UT4,1,Wisotzki,6,                                          
candels-cdfs-26,3,32,47.1,-27,48,53,MUSE,NnoAO,UT4,1,Wisotzki,6,                                          
hudf09-1-01,3,33,4,-27,41,11,MUSE,NnoAO,UT4,1,Wisotzki,6,                                          
candels-cosmos-01,10,0,21.8,2,12,4,MUSE,NnoAO,UT4,0.5,Wisotzki,6,                                          
candels-cosmos-02,10,0,25.7,2,12,4,MUSE,NnoAO,UT4,1,Wisotzki,6,                                          
candels-cosmos-03,10,0,29.3,2,12,4,MUSE,NnoAO,UT4,1,Wisotzki,6,                                          
candels-cosmos-05,10,0,36.7,2,12,4,MUSE,NnoAO,UT4,0.5,Wisotzki,6,                                          
